,time,ppg,ppg2,acc_x,acc_y,acc_z,hr_quality,reference_hr,estimated_hr,sampled_estimated_hr,hr_online
180,7.2,152427.69961975553,-182350.70327413655,774.7070830186087,-24.64645849069565,-585.0303122639565,91.0,86.29140480000002,82.07179,,89.0
181,7.24,150546.64267489614,-185733.9607291101,777.2440121554314,-32.62200607771569,-598.4880243108628,91.0,86.2925184,82.07179,,89.0
182,7.28,150570.56621941348,-186742.76548779116,788.6039024377014,-26.792195124597086,-616.6039024377014,91.0,86.29368064,82.07179,,89.0
183,7.32,151132.04347023048,-186527.89394223373,780.5272450565928,-29.178203954725685,-606.2326940679114,89.0,86.29488896000001,81.63265,,89.0
184,7.36,151714.26777175986,-185997.29283660266,783.4141444833559,-40.56565779334239,-605.1313155866848,89.0,86.29614080000002,81.63265,,89.0
185,7.4,152073.2039603685,-185836.31881185214,778.3603960436351,-34.906930695756735,-600.6336633696959,89.0,86.2974336,81.63265,,89.0
186,7.44,152157.58757990462,-186136.3273667517,774.793789952313,-23.470806698458016,-598.793789952313,89.0,86.2987648,81.63265,,89.0
187,7.48,152293.6946118343,-186443.71305932017,768.7269406426624,-29.01844748587006,-599.490776257065,89.0,86.30013184,81.63265,,89.0
188,7.5200000000000005,152954.2689107199,-186296.41029710617,775.7243564308643,-27.014653468077544,-604.9853465319225,89.0,86.30153216,81.63265,,89.0
189,7.5600000000000005,154059.20547508128,-185544.91677583553,792.4719695803784,-20.0,-605.2920456294324,89.0,86.3029632,81.63265,,89.0
190,7.6000000000000005,155301.45205457215,-184441.82739746643,787.1013698657716,-24.44931506711417,-604.4493150671142,89.0,86.30442239999999,81.63265,,89.0
191,7.640000000000001,156717.96756071146,-183024.3350002775,775.5639024404128,-25.78195122020637,-601.3458536606191,89.0,86.3059072,81.63265,,89.0
192,7.68,158058.68018243957,-181608.9731509065,778.6323287650331,-26.210776255011012,-598.2107762550111,89.0,86.30741504,81.63265,,89.0
193,7.72,159233.84374124155,-180302.19595460742,781.8008821299774,-32.39823574004518,-602.1991178700226,98.0,86.30894336,81.875015,,89.0
194,7.76,160449.4068543088,-178971.10964227503,769.052856058359,-38.18942878832821,-597.4317136350154,98.0,86.3104896,81.875015,,89.0
195,7.8,161758.0423455342,-177583.21492790192,773.0948971777768,-26.90510282222315,-609.4598629037025,98.0,86.31205119999998,81.875015,,89.0
196,7.84,163273.0177335452,-176202.47580251875,777.4833155914857,-20.34445627234281,-615.3110874553144,98.0,86.3136256,81.875015,,89.0
197,7.88,163782.77209452266,-175788.78732666757,774.162498095248,-21.837501904751996,-601.512505714256,98.0,86.31521024,81.875015,,89.0
